participant_id,age,age_group,gender,race_ethnicity,nationality,country_of_residence,education_level,employment_status,occupation_category,relationship_status
P0288,15,13-17,Male,Black/African,Nigerian,Nigeria,High school,Student,Education,Single
P0289,28,28-35,Female,White/Caucasian,Australian,Australia,Postgraduate,Full-time employed,Technology,Single
P0290,21,18-22,Male,Hispanic/Latino,Colombian,Colombia,Undergraduate,Student,Education,Single
P0291,53,50-59,Female,East Asian,Chinese,China,Postgraduate,Full-time employed,Healthcare,Married
P0292,19,18-22,Female,Middle Eastern,Saudi,Saudi Arabia,High school,Student,Education,Single
P0293,30,28-35,Male,White/Caucasian,American,USA,Postgraduate,Full-time employed,Finance,In a relationship
P0294,16,13-17,Female,East Asian,South Korean,South Korea,High school,Student,Education,Single
P0295,39,36-49,Male,South Asian,Indian,India,Postgraduate,Freelancer,Technology,In a relationship
P0296,24,23-27,Female,White/Caucasian,British,UK,Undergraduate,Job seeker,Other,Single
P0297,35,28-35,Male,Black/African,Senegalese,Senegal,Undergraduate,Full-time employed,Business,Married
P0298,20,18-22,Female,Hispanic/Latino,Mexican,Mexico,High school,Student,Education,Single
P0299,46,36-49,Male,East Asian,Filipino,Philippines,Undergraduate,Full-time employed,Government,Married
P0300,22,18-22,Male,Black/African,Nigerian,Nigeria,Undergraduate,Student,Education,Single
